room_name,room_type,x,y,z,depth,degree
balcony_d_2_19,balcony,13.1109855,4.561431499999999,4.499999999999999,11,2
balcony_d_2_7,balcony,11.490726,4.5614315,4.500000000000001,11,2
balcony_d_2_8,balcony,10.539628649791036,2.0297133569640176,4.5,10,3
balcony_d_2_16,balcony,7.5362145,4.6767129999999995,4.500000000000002,8,4
balcony_d_2_14,balcony,4.352219196730164,6.404665071193747,4.499999999999997,8,7
balcony_d_3_20,balcony,14.062082759851085,2.029713543300627,7.500000000000001,10,3
balcony_d_3_19,balcony,13.110985499999998,4.5614315,7.5,11,2
balcony_d_3_7,balcony,11.490725999999997,4.5614314999999985,7.499999999999999,11,2
balcony_d_3_8,balcony,10.539628649791037,2.0297133569640184,7.500000000000001,10,3
balcony_d_3_16,balcony,7.536214499999999,4.676712999999999,7.5,8,4
balcony_d_3_14,balcony,4.352219196730164,6.404665071193747,7.499999999999998,8,7
balcony_d_4_20,balcony,14.062082759851085,2.0297135433006273,10.500000000000002,10,3
balcony_d_4_19,balcony,13.110985499999998,4.561431499999999,10.5,11,2
balcony_d_4_7,balcony,11.490725999999999,4.561431499999999,10.500000000000002,11,2
balcony_d_4_8,balcony,10.539628649791037,2.0297133569640184,10.500000000000004,10,3
balcony_d_4_16,balcony,7.536214500000001,4.676713,10.500000000000004,8,4
balcony_d_4_14,balcony,4.352219196730164,6.404665071193747,10.499999999999998,8,7
balcony_d_5_20,balcony,14.062082759851082,2.0297135433006273,13.500000000000002,10,3
balcony_d_5_19,balcony,13.110985499999998,4.561431499999999,13.499999999999996,11,2
balcony_d_5_7,balcony,11.490725999999999,4.561431499999999,13.500000000000002,11,2
balcony_d_5_8,balcony,10.539628649791037,2.0297133569640184,13.500000000000002,10,3
balcony_d_5_16,balcony,7.5362145,4.6767129999999995,13.5,8,4
balcony_d_5_14,balcony,4.352219196730164,6.40466507119375,13.5,8,7
balcony_d_6_20,balcony,14.062082759851082,2.029713543300627,16.500000000000004,6,3
balcony_d_6_19,balcony,13.110985499999998,4.561431499999999,16.499999999999996,7,2
balcony_d_6_7,balcony,11.490725999999999,4.5614314999999985,16.5,7,2
balcony_d_6_8,balcony,10.53962864979104,2.0297133569640184,16.5,6,3
balcony_d_6_16,balcony,7.536214500000001,4.676713,16.500000000000004,4,4
balcony_d_6_14,balcony,4.352219196730164,6.404665071193747,16.499999999999996,4,7
balcony_d_7_11,balcony,5.427996999999999,9.522138499999999,19.5,10,1
balcony_d_6_11,balcony,5.4279969999999995,9.522138499999999,16.499999999999996,6,1
balcony_d_5_11,balcony,5.4279969999999995,9.522138500000002,13.499999999999998,10,1
balcony_d_4_11,balcony,5.4279969999999995,9.5221385,10.499999999999998,10,1
balcony_d_3_11,balcony,5.4279969999999995,9.522138500000004,7.500000000000001,10,1
balcony_d_2_11,balcony,5.4279969999999995,9.522138500000002,4.5,10,1
balcony_d_1_11,balcony,5.427997,9.522138500000004,1.5,10,1
