room_name,room_type,depth,degree
corridor_d_3_12,corridor,8,4
corridor_d_4_12,corridor,8,4
corridor_d_5_12,corridor,8,4
corridor_d_6_5,corridor,8,1
corridor_d_9_10,corridor,9,2
corridor_d_9_2,corridor,9,2
corridor_d_8_10,corridor,9,2
corridor_d_8_2,corridor,9,2
corridor_d_7_10,corridor,9,2
corridor_d_7_2,corridor,9,2
corridor_d_1_10,corridor,9,2
corridor_d_1_2,corridor,9,2
corridor_d_2_10,corridor,9,2
corridor_d_2_2,corridor,9,2
corridor_d_3_10,corridor,9,2
corridor_d_3_2,corridor,9,2
corridor_d_4_10,corridor,9,2
corridor_d_4_2,corridor,9,2
corridor_d_5_10,corridor,9,2
corridor_d_5_2,corridor,9,2
balcony_d_9_20,balcony,10,3
balcony_d_9_8,balcony,10,3
balcony_d_9_10,balcony,10,2
balcony_d_8_20,balcony,10,3
balcony_d_8_8,balcony,10,3
balcony_d_8_10,balcony,10,2
balcony_d_7_10,balcony,10,2
balcony_d_5_10,balcony,10,2
balcony_d_4_10,balcony,10,2
balcony_d_3_10,balcony,10,2
balcony_d_2_10,balcony,10,2
balcony_d_1_10,balcony,10,2
balcony_d_9_17,balcony,10,1
balcony_d_9_3,balcony,10,2
balcony_d_9_13,balcony,10,1
balcony_d_9_2,balcony,10,1
balcony_d_9_1,balcony,10,1
balcony_d_9_11,balcony,10,1
balcony_d_9_12,balcony,10,2
balcony_d_7_20,balcony,10,3
balcony_d_7_8,balcony,10,3
balcony_d_8_17,balcony,10,1
balcony_d_8_3,balcony,10,2
balcony_d_8_11,balcony,10,1
balcony_d_8_12,balcony,10,2
balcony_d_8_13,balcony,10,1
balcony_d_8_2,balcony,10,1
balcony_d_8_1,balcony,10,1
balcony_d_1_20,balcony,10,3
balcony_d_1_8,balcony,10,3
balcony_d_2_20,balcony,10,3
balcony_d_2_8,balcony,10,3
balcony_d_3_20,balcony,10,3
balcony_d_3_8,balcony,10,3
balcony_d_4_20,balcony,10,3
balcony_d_4_8,balcony,10,3
balcony_d_5_20,balcony,10,3
balcony_d_5_8,balcony,10,3
balcony_d_7_11,balcony,10,1
balcony_d_5_11,balcony,10,1
balcony_d_4_11,balcony,10,1
balcony_d_3_11,balcony,10,1
balcony_d_2_11,balcony,10,1
balcony_d_1_11,balcony,10,1
balcony_d_7_17,balcony,10,1
balcony_d_7_3,balcony,10,2
balcony_d_7_12,balcony,10,2
balcony_d_7_13,balcony,10,1
balcony_d_7_2,balcony,10,1
balcony_d_7_1,balcony,10,1
balcony_d_1_17,balcony,10,1
balcony_d_1_3,balcony,10,2
balcony_d_1_12,balcony,10,2
balcony_d_1_13,balcony,10,1
balcony_d_1_2,balcony,10,1
balcony_d_1_1,balcony,10,1
balcony_d_2_17,balcony,10,1
balcony_d_2_3,balcony,10,2
balcony_d_2_12,balcony,10,2
balcony_d_2_13,balcony,10,1
balcony_d_2_2,balcony,10,1
balcony_d_2_1,balcony,10,1
balcony_d_3_17,balcony,10,1
balcony_d_3_3,balcony,10,2
balcony_d_3_12,balcony,10,2
balcony_d_3_13,balcony,10,1
balcony_d_3_2,balcony,10,1
balcony_d_3_1,balcony,10,1
balcony_d_4_17,balcony,10,1
